date;Italy;US;France;Germany;India
2020-01-22;0;1;0;0;0
2020-01-23;0;1;0;0;0
2020-01-24;0;2;2;0;0
2020-01-25;0;2;3;0;0
2020-01-26;0;5;3;0;0
2020-01-27;0;5;3;1;0
2020-01-28;0;5;4;4;0
2020-01-29;0;6;5;4;0
2020-01-30;0;6;5;4;1
2020-01-31;2;8;5;5;1
2020-02-01;2;8;6;8;1
2020-02-02;2;8;6;10;2
2020-02-03;2;11;6;12;3
2020-02-04;2;11;6;12;3
2020-02-05;2;11;6;12;3
2020-02-06;2;12;6;12;3
2020-02-07;3;12;6;13;3
2020-02-08;3;12;11;13;3
2020-02-09;3;12;11;14;3
2020-02-10;3;12;11;14;3
2020-02-11;3;13;11;16;3
2020-02-12;3;13;11;16;3
2020-02-13;3;14;11;16;3
2020-02-14;3;14;11;16;3
2020-02-15;3;14;12;16;3
2020-02-16;3;14;12;16;3
2020-02-17;3;14;12;16;3
2020-02-18;3;14;12;16;3
2020-02-19;3;14;12;16;3
2020-02-20;3;14;12;16;3
2020-02-21;20;16;12;16;3
2020-02-22;62;16;12;16;3
2020-02-23;155;16;12;16;3
2020-02-24;229;16;12;16;3
2020-02-25;322;16;14;16;3
2020-02-26;453;16;18;21;3
2020-02-27;655;17;38;26;3
2020-02-28;888;17;57;53;3
2020-02-29;1128;25;100;66;3
2020-03-01;1694;32;130;117;3
2020-03-02;2036;55;191;150;5
2020-03-03;2502;74;212;188;5
2020-03-04;3089;107;288;240;28
2020-03-05;3858;184;426;349;30
2020-03-06;4636;237;616;534;31
2020-03-07;5883;403;948;684;34
2020-03-08;7375;519;1125;847;39
2020-03-09;9172;594;1411;1112;43
2020-03-10;10149;782;1783;1296;56
2020-03-11;12462;1147;2293;1567;62
2020-03-12;15113;1586;2293;2369;73
2020-03-13;17660;2219;3681;3062;82
2020-03-14;21157;2978;4496;3795;102
2020-03-15;24747;3212;4532;4838;113
2020-03-16;27980;4679;6683;6012;119
2020-03-17;31506;6512;7715;7156;142
2020-03-18;35713;9169;9124;8198;156
2020-03-19;41035;13663;10970;10999;194
2020-03-20;47021;20030;12758;13957;244
2020-03-21;53578;26025;14463;16662;330
2020-03-22;59138;34944;16761;18610;396
2020-03-23;63927;46096;20120;22672;499
2020-03-24;69176;56714;22372;27436;536
2020-03-25;74386;68841;25331;31554;657
2020-03-26;80589;86662;29252;36508;727
2020-03-27;86498;105253;33045;42288;887
2020-03-28;92472;127417;37693;48582;987
2020-03-29;97689;143544;40296;52547;1024
2020-03-30;101739;165698;44645;57298;1251
2020-03-31;105792;192079;52281;61913;1397
2020-04-01;110574;223254;57125;67366;1998
2020-04-02;115242;255530;59227;73522;2543
2020-04-03;119827;287931;64452;79696;2567
2020-04-04;124632;319776;47376;85778;3082
2020-04-05;128948;349016;48225;91714;3588
2020-04-06;132547;380798;50884;95391;4778
2020-04-07;135586;410834;47395;99225;5311
2020-04-08;139422;441897;51250;103228;5916
2020-04-09;143626;477507;55034;108202;6725
2020-04-10;147577;511790;56600;113525;7598
2020-04-11;152271;540714;58045;117658;8446
2020-04-12;156363;567022;108792;120479;9205
2020-04-13;159516;594165;111933;123016;10453
2020-04-14;162488;622493;129381;125098;11487
2020-04-15;165155;648390;132588;127584;12322
2020-04-16;168941;678028;145166;130450;13430
2020-04-17;172434;711135;147057;133830;14352
2020-04-18;175925;738464;150861;137439;15722
2020-04-19;178972;763886;151955;139897;17615
2020-04-20;181228;793970;154402;141672;18539
2020-04-21;183957;820045;157068;143457;20080
2020-04-22;187327;849926;158867;145694;21370
2020-04-23;189973;881891;157158;148046;23077
2020-04-24;192994;913856;159969;150383;24530
2020-04-25;195351;944770;161647;152438;26283
2020-04-26;197675;970741;162280;154175;27890
2020-04-27;199414;995391;165966;155193;29451
2020-04-28;201505;1019964;169098;156337;31324
2020-04-29;203591;1046816;167643;157641;33062
2020-04-30;205463;1076518;168861;159119;34863
2020-05-01;207428;1111410;169387;160758;37257
2020-05-02;209328;1138174;170179;161703;39699
2020-05-03;210717;1161907;170540;162496;42505
2020-05-04;211938;1185709;171102;163175;46437
2020-05-05;213013;1209728;172219;163860;49400
2020-05-06;214457;1234210;176355;164807;52987
2020-05-07;215858;1261949;177096;166091;56351
2020-05-08;217185;1289132;177627;167300;59695
2020-05-09;218268;1313586;178155;168551;62808
2020-05-10;219070;1332333;178404;169218;67161
2020-05-11;219814;1351410;178719;169575;70768
2020-05-12;221216;1374792;179472;170508;74292
2020-05-13;222104;1394807;179993;171306;78055
2020-05-14;223096;1420697;180635;172239;81997
2020-05-15;223885;1445548;181148;173152;85784
2020-05-16;224760;1469598;181563;173772;90648
2020-05-17;225435;1488327;181703;174355;95698
2020-05-18;225886;1510635;182147;174697;100328
2020-05-19;226699;1531138;182648;175210;106475
2020-05-20;227364;1553964;183129;176007;112028
2020-05-21;228006;1579116;183396;176752;118226
2020-05-22;228658;1602945;184152;177212;124794
2020-05-23;229327;1623134;184698;177850;131423
2020-05-24;229858;1643308;184259;178281;138536
2020-05-25;230158;1662402;184584;178570;144950
2020-05-26;230555;1681128;184839;179002;150793
2020-05-27;231139;1699891;185012;179364;158086
2020-05-28;231732;1721158;188355;179717;165386
2020-05-29;232248;1746240;188949;180458;173491
2020-05-30;232664;1769320;190743;181196;181827
2020-05-31;232997;1788239;190975;181482;190609
2020-06-01;233197;1806079;191382;181815;198370
2020-06-02;233515;1826169;190735;182028;207191
2020-06-03;233836;1845325;187509;182370;216824
2020-06-04;234013;1873259;191869;182764;226713
2020-06-05;234531;1899699;192450;183271;236184
2020-06-06;234801;1919968;193022;183678;246622
2020-06-07;234998;1937794;193363;183979;257486
2020-06-08;235278;1954694;193637;184193;265928
2020-06-09;235561;1975015;194190;184543;276146
2020-06-10;235763;1996733;194815;184861;286605
2020-06-11;236142;2019011;195179;185416;297535
2020-06-12;236305;2044569;195980;185674;308993
2020-06-13;236651;2068726;196477;186022;320922
2020-06-14;236989;2087627;196867;186269;332424
2020-06-15;237290;2108626;197003;186461;343091
2020-06-16;237500;2133175;197666;186839;354065
2020-06-17;237828;2160225;198155;187184;366946
2020-06-18;238159;2188452;198741;187764;380532
2020-06-19;238011;2219506;199528;188534;395048
2020-06-20;238275;2251332;200147;189135;410451
2020-06-21;238499;2277168;200490;189822;425282
2020-06-22;238720;2306969;200632;190359;440215
2020-06-23;238833;2345698;201330;190862;456183
2020-06-24;239410;2381949;201598;191449;473105
2020-06-25;239706;2421248;201853;192079;490401
2020-06-26;239961;2470294;203116;192556;508953
2020-06-27;240136;2511048;203564;193243;528859
2020-06-28;240310;2553973;203157;193499;548318
2020-06-29;240436;2595268;203802;193761;566840
2020-06-30;240578;2645092;204244;194259;585481
2020-07-01;240760;2694215;205234;194725;604641
2020-07-02;240961;2749158;205773;195228;625544
2020-07-03;241184;2800662;206312;195674;648315
2020-07-04;241419;2846607;206670;196096;673165
2020-07-05;241611;2900335;206682;196335;697413
2020-07-06;241819;2943500;207700;196554;719664
2020-07-07;241956;3000731;208154;196944;742417
2020-07-08;242149;3061037;208976;197341;767296
2020-07-09;242363;3120693;209420;197783;793802
2020-07-10;242639;3189552;210135;198178;820916
2020-07-11;242827;3249991;210386;198556;849522
2020-07-12;243061;3310123;210402;198804;878254
2020-07-13;243230;3369487;211825;198963;906752
2020-07-14;243344;3435149;211887;199375;936181
2020-07-15;243506;3501175;212614;199726;968857
2020-07-16;243736;3571989;213183;200260;1003832
2020-07-17;243967;3638461;214009;200843;1039084
2020-07-18;244216;3702783;214174;201372;1077781
2020-07-19;244434;3761715;214178;201574;1118206
2020-07-20;244624;3822378;216089;201823;1155338
2020-07-21;244752;3890572;216684;202345;1193078
2020-07-22;245032;3958117;217605;202799;1238798
2020-07-23;245338;4026003;218841;203368;1288108
2020-07-24;245590;4101150;219932;204183;1337024
2020-07-25;245864;4165350;220016;204964;1385635
2020-07-26;246118;4221189;220020;205269;1435616
2020-07-27;246286;4280913;222508;205609;1480073
2020-07-28;246488;4345743;223072;206242;1531669
2020-07-29;246776;4409871;224542;206926;1581963
2020-07-30;247158;4479112;225936;207828;1634746
2020-07-31;247537;4543688;227239;208698;1695988
2020-08-01;247832;4601266;227301;209653;1750723
2020-08-02;248070;4648375;227304;209893;1803695
2020-08-03;248229;4690059;230665;210402;1855745
2020-08-04;248419;4751716;231636;211281;1908254
2020-08-05;248803;4806064;233344;212022;1964536
2020-08-06;249204;4866244;234945;213067;2027074
2020-08-07;249756;4926831;237332;214214;2088611
2020-08-08;250103;4990764;237402;215336;2153010
2020-08-09;250566;5045031;237408;215891;2215074
2020-08-10;250825;5096648;242168;216327;2268675
2020-08-11;251237;5153603;243576;217293;2329638
2020-08-12;251713;5208847;246180;218519;2396637
2020-08-13;252235;5260503;248850;219964;2461190
2020-08-14;252809;5330628;251764;221413;2525922
2020-08-15;253438;5383023;254974;222828;2589952
2020-08-16;253915;5417685;257994;223453;2647663
2020-08-17;254235;5455534;258629;224014;2702681
2020-08-18;254636;5500436;260748;225404;2767253
2020-08-19;255278;5546320;264535;226914;2836925
2020-08-20;256118;5591448;269335;228621;2905825
2020-08-21;257065;5639039;274289;230048;2975701
2020-08-22;258136;5684712;277763;232082;3044940
2020-08-23;259345;5716623;282498;232864;3106348
2020-08-24;260298;5750546;284474;233575;3167323
2020-08-25;261174;5793219;288067;234853;3224547
2020-08-26;262540;5835292;288354;236429;3310234
