doubling every two days;doubling every 10 days;doubling every 30 days;Italy;US;China;Germany;India;date
100.0;100.0;100.0;155.0;107.0;548.0;117.0;102.0;0
141.4213562373095;107.17734625362931;102.3373891996775;229.0;184.0;643.0;150.0;113.0;1
200.0;114.86983549970351;104.72941228206267;322.0;237.0;920.0;188.0;119.0;2
282.842712474619;123.11444133449163;107.17734625362931;453.0;403.0;1406.0;240.0;142.0;3
400.0;131.9507910772894;109.68249796946259;655.0;519.0;2075.0;349.0;156.0;4
565.685424949238;141.4213562373095;112.2462048309373;888.0;594.0;2877.0;534.0;194.0;5
800.0;151.5716566510398;114.86983549970351;1128.0;782.0;5509.0;684.0;244.0;6
1131.370849898476;162.4504792712471;117.55479062836088;1694.0;1147.0;6087.0;847.0;330.0;7
1600.0;174.11011265922482;120.30250360821167;2036.0;1586.0;8141.0;1112.0;396.0;8
2262.741699796952;186.60659830736148;123.11444133449163;2502.0;2219.0;9802.0;1296.0;499.0;9
3200.0;200.0;125.99210498948732;3089.0;2978.0;11891.0;1567.0;536.0;10
4525.483399593904;214.35469250725862;128.9370308439579;3858.0;3212.0;16630.0;2369.0;657.0;11
6400.0;229.73967099940697;131.9507910772894;4636.0;4679.0;19716.0;3062.0;727.0;12
9050.966799187809;246.22888266898326;135.034994616819;5883.0;6512.0;23707.0;3795.0;887.0;13
12800.0;263.9015821545788;138.1912879967776;7375.0;9169.0;27440.0;4838.0;987.0;14
18101.933598375617;282.842712474619;141.4213562373095;9172.0;13663.0;30587.0;6012.0;1024.0;15
25600.0;303.14331330207966;144.7269237440378;10149.0;20030.0;34110.0;7156.0;1251.0;16
36203.867196751235;324.9009585424942;148.1097552286564;12462.0;26025.0;36814.0;8198.0;1397.0;17
51200.0;348.22022531844965;151.5716566510398;15113.0;34944.0;39829.0;10999.0;1998.0;18
72407.73439350247;373.21319661472296;155.11447618337345;17660.0;46096.0;42354.0;13957.0;2543.0;19
;;;21157.0;56714.0;44386.0;16662.0;2567.0;20
;;;24747.0;68841.0;44759.0;18610.0;3082.0;21
;;;27980.0;86662.0;59895.0;22672.0;3588.0;22
;;;31506.0;105253.0;66358.0;27436.0;4778.0;23
;;;35713.0;127417.0;68413.0;31554.0;5311.0;24
;;;41035.0;143544.0;70513.0;36508.0;5916.0;25
;;;47021.0;165698.0;72434.0;42288.0;6725.0;26
;;;53578.0;192079.0;74211.0;48582.0;7598.0;27
;;;59138.0;223254.0;74619.0;52547.0;8446.0;28
;;;63927.0;255530.0;75077.0;57298.0;9205.0;29
;;;69176.0;287931.0;75550.0;61913.0;10453.0;30
;;;74386.0;319776.0;77001.0;67366.0;11487.0;31
;;;80589.0;349016.0;77022.0;73522.0;12322.0;32
;;;86498.0;380798.0;77241.0;79696.0;13430.0;33
;;;92472.0;410834.0;77754.0;85778.0;14352.0;34
;;;97689.0;441897.0;78166.0;91714.0;15722.0;35
;;;101739.0;477507.0;78600.0;95391.0;17615.0;36
;;;105792.0;511790.0;78928.0;99225.0;18539.0;37
;;;110574.0;540714.0;79356.0;103228.0;20080.0;38
;;;115242.0;567022.0;79932.0;108202.0;21370.0;39
;;;119827.0;594165.0;80136.0;113525.0;23077.0;40
;;;124632.0;622493.0;80261.0;117658.0;24530.0;41
;;;128948.0;648390.0;80386.0;120479.0;26283.0;42
;;;132547.0;678028.0;80537.0;123016.0;27890.0;43
;;;135586.0;711135.0;80690.0;125098.0;29451.0;44
;;;139422.0;738464.0;80770.0;127584.0;31324.0;45
;;;143626.0;763886.0;80823.0;130450.0;33062.0;46
;;;147577.0;793970.0;80860.0;133830.0;34863.0;47
;;;152271.0;820045.0;80887.0;137439.0;37257.0;48
;;;156363.0;849926.0;80921.0;139897.0;39699.0;49
;;;159516.0;881891.0;80932.0;141672.0;42505.0;50
;;;162488.0;913856.0;80945.0;143457.0;46437.0;51
;;;165155.0;944770.0;80977.0;145694.0;49400.0;52
;;;168941.0;970741.0;81003.0;148046.0;52987.0;53
;;;172434.0;995391.0;81033.0;150383.0;56351.0;54
;;;175925.0;1019964.0;81058.0;152438.0;59695.0;55
;;;178972.0;1046816.0;81102.0;154175.0;62808.0;56
;;;181228.0;1076518.0;81156.0;155193.0;67161.0;57
;;;183957.0;1111410.0;81250.0;156337.0;70768.0;58
;;;187327.0;1138174.0;81305.0;157641.0;74292.0;59
;;;189973.0;1161907.0;81435.0;159119.0;78055.0;60
;;;192994.0;1185709.0;81493.0;160758.0;81997.0;61
;;;195351.0;1209728.0;81587.0;161703.0;85784.0;62
;;;197675.0;1234210.0;81658.0;162496.0;90648.0;63
;;;199414.0;1261949.0;81781.0;163175.0;95698.0;64
;;;201505.0;1289132.0;81872.0;163860.0;100328.0;65
;;;203591.0;1313586.0;81964.0;164807.0;106475.0;66
;;;205463.0;1332333.0;82058.0;166091.0;112028.0;67
;;;207428.0;1351410.0;82139.0;167300.0;118226.0;68
;;;209328.0;1374792.0;83786.0;168551.0;124794.0;69
;;;210717.0;1394807.0;84002.0;169218.0;131423.0;70
;;;211938.0;1420697.0;84129.0;169575.0;138536.0;71
;;;213013.0;1445548.0;84265.0;170508.0;144950.0;72
;;;214457.0;1469598.0;84363.0;171306.0;150793.0;73
;;;215858.0;1488327.0;84467.0;172239.0;158086.0;74
;;;217185.0;1510635.0;84611.0;173152.0;165386.0;75
;;;218268.0;1531138.0;84692.0;173772.0;173491.0;76
;;;219070.0;1553964.0;84909.0;174355.0;181827.0;77
;;;219814.0;1579116.0;85024.0;174697.0;190609.0;78
