date;Germany;India
2020-12-27;0.03;54.234205607476625
2020-12-28;0.05;54.234205607476625
2020-12-29;0.11;54.234205607476625
2020-12-30;0.19;54.234205607476625
2020-12-31;0.25;54.234205607476625
2021-01-01;0.28;54.234205607476625
2021-01-02;0.34;54.234205607476625
2021-01-03;0.36;54.234205607476625
2021-01-04;0.42;54.234205607476625
2021-01-05;0.48;54.234205607476625
2021-01-06;0.56;54.234205607476625
2021-01-07;0.62;54.234205607476625
2021-01-08;0.7;54.234205607476625
2021-01-09;0.77;54.234205607476625
2021-01-10;0.81;54.234205607476625
2021-01-11;0.89;54.234205607476625
2021-01-12;0.99;54.234205607476625
2021-01-13;1.12;54.234205607476625
2021-01-14;1.22;54.234205607476625
2021-01-15;1.33;0.0
2021-01-16;1.4;0.01
2021-01-17;1.46;0.02
2021-01-18;1.56;0.03
2021-01-19;1.7;0.05
2021-01-20;1.86;0.06
2021-01-21;1.98;0.07
2021-01-22;2.11;0.1
2021-01-23;2.21;0.11
2021-01-24;2.27;0.12
2021-01-25;2.37;0.15
2021-01-26;2.49;0.15
2021-01-27;2.62;0.17
2021-01-28;2.73;0.21
2021-01-29;2.86;0.25
2021-01-30;2.97;0.27
2021-01-31;3.03;0.27
2021-02-01;3.18;0.28
2021-02-02;3.34;0.3
2021-02-03;3.53;0.32
2021-02-04;3.69;0.36
2021-02-05;3.87;0.39
2021-02-06;3.98;0.41
2021-02-07;4.04;0.42
2021-02-08;4.17;0.45
2021-02-09;4.33;0.47
2021-02-10;4.52;0.5
2021-02-11;4.69;0.54
2021-02-12;4.88;0.57
2021-02-13;5.01;0.58
2021-02-14;5.09;54.234205607476625
2021-02-15;5.24;0.61
2021-02-16;5.4;0.64
2021-02-17;5.58;0.66
2021-02-18;5.75;0.71
2021-02-19;5.94;0.75
2021-02-20;6.07;0.78
2021-02-21;6.18;0.8
2021-02-22;6.36;0.82
2021-02-23;6.57;0.85
2021-02-24;6.78;0.89
2021-02-25;7.01;0.94
2021-02-26;7.26;0.99
2021-02-27;7.44;1.02
2021-02-28;7.56;1.03
2021-03-01;7.8;1.07
2021-03-02;8.06;1.12
2021-03-03;8.36;1.19
2021-03-04;8.65;1.29
2021-03-05;8.98;1.4
2021-03-06;9.22;1.5
2021-03-07;9.4;1.51
2021-03-08;9.68;1.65
2021-03-09;9.98;1.75
2021-03-10;10.33;1.84
2021-03-11;10.67;1.88
2021-03-12;11.06;2.03
2021-03-13;11.35;2.13
2021-03-14;11.55;2.15
2021-03-15;11.85;2.36
2021-03-16;12.06;2.52
2021-03-17;12.31;2.67
2021-03-18;12.54;2.82
2021-03-19;12.83;3.02
2021-03-20;13.09;3.2
2021-03-21;13.29;3.23
2021-03-22;13.61;3.48
2021-03-23;13.97;3.65
2021-03-24;14.38;3.81
2021-03-25;14.78;3.98
2021-03-26;15.22;4.17
2021-03-27;15.56;4.33
2021-03-28;15.8;4.34
2021-03-29;16.16;4.39
2021-03-30;16.55;4.53
2021-03-31;16.96;4.67
2021-04-01;17.35;4.94
2021-04-02;17.62;5.24
2021-04-03;17.9;5.45
2021-04-04;18.13;5.68
2021-04-05;18.42;5.96
2021-04-06;18.87;6.25
2021-04-07;19.67;6.47
2021-04-08;20.5;6.77
2021-04-09;21.26;7.04
2021-04-10;21.7;7.29
2021-04-11;22.02;7.5
2021-04-12;22.52;7.79
2021-04-13;23.21;7.98
2021-04-14;24.13;8.22
2021-04-15;24.95;8.41
2021-04-16;25.66;8.61
2021-04-17;26.1;8.8
2021-04-18;26.42;8.89
2021-04-19;26.9;9.12
2021-04-20;27.57;54.234205607476625
2021-04-21;28.44;9.3
2021-04-22;29.2;9.53
2021-04-23;29.87;54.234205607476625
2021-04-24;30.3;54.234205607476625
2021-04-25;30.64;9.99
2021-04-26;31.16;10.23
2021-04-27;32.1;10.4
2021-04-28;33.44;10.55
2021-04-29;34.57;10.71
2021-04-30;35.53;10.91
2021-05-01;35.93;11.03
2021-05-02;36.25;11.07
2021-05-03;36.79;11.2
2021-05-04;37.8;11.32
2021-05-05;39.17;11.48
2021-05-06;40.36;11.67
2021-05-07;41.42;11.86
2021-05-08;41.93;12.02
2021-05-09;42.27;12.08
2021-05-10;42.98;12.28
2021-05-11;44.28;12.48
2021-05-12;45.97;12.63
2021-05-13;46.48;12.8
2021-05-14;47.39;12.89
2021-05-15;47.87;13.03
2021-05-16;48.2;13.08
2021-05-17;48.87;13.19
2021-05-18;49.91;13.29
2021-05-19;51.22;13.38
2021-05-20;52.36;13.48
2021-05-21;53.37;54.234205607476625
2021-05-22;53.94;13.7
2021-05-23;54.28;13.76
2021-05-24;54.67;13.93
2021-05-25;55.45;14.03
2021-05-26;56.86;14.24
2021-05-27;58.11;14.44
2021-05-28;59.19;14.58
2021-05-29;59.68;14.86
2021-05-30;60.02;14.98
2021-05-31;60.67;15.1
2021-06-01;61.85;15.3
2021-06-02;63.35;15.48
2021-06-03;64.12;15.67
2021-06-04;65.09;16.05
2021-06-05;65.58;16.19
2021-06-06;65.93;16.37
2021-06-07;66.66;16.54
2021-06-08;67.93;16.77
2021-06-09;69.63;17.0
2021-06-10;71.06;17.24
2021-06-11;72.34;17.49
2021-06-12;72.86;17.67
2021-06-13;73.2;17.9
2021-06-14;73.98;18.14
2021-06-15;75.24;18.32
2021-06-16;76.89;18.54
2021-06-17;78.27;18.87
2021-06-18;79.46;19.12
2021-06-19;79.97;19.44
2021-06-20;80.32;19.68
2021-06-21;81.08;20.33
2021-06-22;82.37;20.8
2021-06-23;83.97;21.05
2021-06-24;85.21;21.53
2021-06-25;86.31;22.01
2021-06-26;86.8;22.6
2021-06-27;87.15;22.82
2021-06-28;87.9;23.07
2021-06-29;89.02;23.5
2021-06-30;90.25;23.62
2021-07-01;91.42;24.02
2021-07-02;92.44;24.09
2021-07-03;92.89;24.71
2021-07-04;93.21;24.93
2021-07-05;93.85;25.21
2021-07-06;94.79;25.43
2021-07-07;95.98;25.7
2021-07-08;96.99;26.48
2021-07-09;97.9;54.234205607476625
2021-07-10;98.31;26.99
2021-07-11;98.58;27.08
2021-07-12;99.14;27.38
2021-07-13;100.06;27.82
2021-07-14;101.22;28.09
2021-07-15;102.14;28.37
2021-07-16;102.94;28.68
2021-07-17;103.26;29.06
2021-07-18;103.5;54.234205607476625
2021-07-19;103.96;29.56
2021-07-20;104.69;29.82
2021-07-21;105.59;29.99
2021-07-22;106.34;30.39
2021-07-23;107.02;30.71
2021-07-24;107.28;31.09
2021-07-25;107.43;31.23
2021-07-26;107.83;31.71
2021-07-27;108.5;32.02
2021-07-28;109.33;32.35
2021-07-29;110.02;32.73
2021-07-30;110.62;33.12
2021-07-31;110.85;54.234205607476625
2021-08-01;110.99;33.89
2021-08-02;111.34;54.234205607476625
2021-08-03;111.9;34.83
2021-08-04;112.58;35.12
2021-08-05;113.21;35.55
2021-08-06;113.74;35.96
2021-08-07;113.96;36.37
2021-08-08;114.1;36.51
2021-08-09;114.45;36.92
2021-08-10;114.97;37.25
2021-08-11;115.62;37.58
2021-08-12;116.18;54.234205607476625
2021-08-13;116.69;38.48
2021-08-14;116.93;39.03
2021-08-15;117.07;54.234205607476625
2021-08-16;117.38;39.51
2021-08-17;117.82;39.94
2021-08-18;118.32;40.34
2021-08-19;118.72;40.66
2021-08-20;119.13;41.14
2021-08-21;119.32;41.36
2021-08-22;119.43;41.68
2021-08-23;119.71;41.79
2021-08-24;120.07;42.25
2021-08-25;120.48;42.91
2021-08-26;120.84;43.38
